@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "BTBTP1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le     0.00051
@ CHARGE           %le     1.00000
@ ENERGY           %le     1.00000
@ PC               %le     1.00000
@ GAMMA            %le  1956.95134
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00000
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     1.00000
@ EY               %le     1.00000
@ ET               %le     1.00000
@ LENGTH           %le    69.59200
@ ALFA             %le     0.00000
@ ORBIT5           %le     0.00000
@ GAMMATR          %le     0.00000
@ Q1               %le     1.39913
@ Q2               %le     0.78550
@ DQ1              %le     0.00000
@ DQ2              %le     0.00000
@ DXMAX            %le     2.37909
@ DYMAX            %le     1.50653
@ XCOMAX           %le     0.00000
@ YCOMAX           %le     0.72000
@ BETXMAX          %le    69.39853
@ BETYMAX          %le    82.38922
@ XCORMS           %le     0.00000
@ YCORMS           %le     0.15903
@ DXRMS            %le     1.12034
@ DYRMS            %le     0.63876
@ DELTAP           %le     0.00000
@ SYNCH_1          %le     0.00000
@ SYNCH_2          %le     0.00000
@ SYNCH_3          %le     0.00000
@ SYNCH_4          %le     0.00000
@ SYNCH_5          %le     0.00000
@ TITLE            %45s "Transferline BT/BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 4.01.30 Linux"
@ DATE             %08s "28/01/11"
@ TIME             %08s "15.40.45"
* NAME                        S          Y         PY       BETX       ALFX       BETY       ALFY 
$ %s                        %le        %le        %le        %le        %le        %le        %le 
 "DRIFT_18"            18.37263   -0.25422    0.07435   22.52304    2.51438    7.88215   -0.45777
 "BTL_DVT40"           19.19738   -0.19290    0.07435   18.59671    2.24626    8.74162   -0.58433
 "DRIFT_19"            19.84469   -0.14477    0.07435   15.82487    2.03582    9.56240   -0.68366
 "BTL$END"             20.30000   -0.11092    0.07435   14.03841    1.88780   10.21676   -0.75353
 "DRIFT_20"            20.32194   -0.10929    0.07435   13.95573    1.88067   10.24990   -0.75689
 "BT_VPI23"            20.43638   -0.10078    0.07435   13.52954    1.84347   10.42515   -0.77446
 "DRIFT_21"            20.86444   -0.06895    0.07435   12.01088    1.70431   11.11629   -0.84014
 "BT_SMV20_L"          21.20000   -0.04400    0.07435   10.90369    1.59522   11.69741   -0.89164
 "DRIFT_22"            21.46750   -0.04326    0.00276   10.07351    1.50826   12.18542   -0.93269
 "BT_MTV30"            21.73500   -0.04252    0.00276    9.28985    1.42129   12.69538   -0.97373
 "DRIFT_23"            21.86750   -0.04216    0.00276    8.91892    1.37822   12.95612   -0.99407
 "BT$START"            22.00000   -0.04179    0.00276    8.55940    1.33514   13.22224   -1.01440
 "DRIFT_24"            22.18794   -0.04127    0.00276    8.06903    1.27405   13.60895   -1.04324
 "BT_QN301"            22.42248   -0.02062    0.00304    7.49397    1.09756   14.09799   -0.89059
 "BT_QN302"            22.51568   -0.02031    0.00359    7.31031    0.87473   14.22969   -0.52139
 "BT_QN303"            22.60888   -0.01995    0.00413    7.16733    0.66063   14.29204   -0.14700
 "BT_QN304"            22.70208   -0.01954    0.00465    7.06362    0.45312   14.28440    0.22885
 "BT_QN305"            22.79528   -0.01908    0.00517    6.99813    0.25014   14.20686    0.60243
 "DRIFT_25"            24.38313   -0.03047    0.00542    6.86598   -0.07606   11.98762    0.61068
