COORDONNEES COURANTES(EN Z) DES POINTS FAISCEAUX AU 02-APR-2015

"Zone","Accl.","Elément","X","Y","Z","Dist. cumul.","Longueur","Deflexion","Corhgeo","Pente Z","Gisement","Tilt Z","Date calcul","Id."
"TPS","LTB","BCT.60.S","1902.95798","2062.78276","2433.66","27.2788",".19","0","0","0","371.079203","0","28-NOV-1996","160237"
"TPS","LTB","QFW.50.E","1902.80088","2063.10445","2433.66","27.6368","","0","0","0","371.079203","0","23-JUL-1997","160238"
"TPS","LTB","QFW.50.S","1902.62535","2063.46388","2433.66","28.0368",".4","0","0","0","371.079203","0","23-JUL-1997","160239"
"TPS","LTB","QDW.60.E","1902.23041","2064.2726","2433.66","28.9368","","0","0","0","371.079203","0","23-JUL-1997","160240"
"TPS","LTB","QDW.60.S","1902.05488","2064.63203","2433.66","29.3368",".4","0","0","0","371.079203","0","23-JUL-1997","160241"
"TPS","LTB","DVT.40.E","1901.92982","2064.88812","2433.66","29.6218","","0","0","0","371.079203","0","28-NOV-1996","160242"
"TPS","LTB","DVT.40.S","1901.80168","2065.15051","2433.66","29.9138",".292","0","0","0","371.079203","0","28-NOV-1996","160243"
"TPS","LTB","BPM.30.E","1901.638262795","2065.485136362","2433.66","30.2862","","0","0","0","371.079203","0","31-JAN-2014","160244"
"TPS","LTB","BPM.30.S","1901.638262795","2065.485136362","2433.66","30.2862","0","0","0","0","371.079203","0","31-JAN-2014","160245"
"TPS","LTB","BHZ.40.E","1901.35001","2066.07541","2433.66","30.9431","","0","0","0","371.079203","0","28-NOV-1996","160246"
"TPS","LTB","BHZ.40.S","1900.95507","2066.88413","2433.66","31.8431",".9","0","0","0","371.079203","0","28-NOV-1996","160247"
