COORDONNEES COURANTES(EN Z) DES POINTS FAISCEAUX AU 02-APR-2015

"Zone","Accl.","Elément","X","Y","Z","Dist. cumul.","Longueur","Deflexion","Corhgeo","Pente Z","Gisement","Tilt Z","Date calcul","Id."
"363","LT","CDB.10.S","1916.75254","2008.44474","2433.66","21.98726",".48","0","0","0","377.746131","0","28-NOV-1996","160505"
"363","LT","BCT.20.E","1916.54242","2009.02113","2433.66","22.60076","","0","0","0","377.746131","0","28-NOV-1996","160508"
"363","LT","BCT.20.S","1916.47906","2009.19495","2433.66","22.78576",".185","0","0","0","377.746131","0","28-NOV-1996","160509"
"TPS","LT","BHZ.20.E","1916.21462","2009.92036","2433.66","23.55787","","-.139615","0","0","377.746131","0","28-NOV-1996","160510"
"TPS","LT","BEC.3.E","1916.029757737","2010.762288195","2433.66","24.41947","","0","0","0","395.522223","0","14-DEC-2012","766458"
"TPS","LT","BEC.3.S","1916.029757737","2010.762288195","2433.66","24.41947","0","0","0","0","395.522223","0","14-DEC-2012","766459"
"TPS","LT","BHZ.20.S","1916.02706","2010.8006","2433.66","24.45787",".9","-.139615","0","0","395.522223","0","28-NOV-1996","160511"
"TPS","LT","STP.10.E","1915.92026","2012.31644","2433.66","25.97747","","0","0","0","395.522223","0","28-NOV-1996","160514"
"TPS","LT","STP.10.S","1915.90199","2012.5758","2433.66","26.23747",".26","0","0","0","395.522223","0","28-NOV-1996","160515"
"TPS","LT","QFN.50.E","1915.60176","2016.83723","2433.66","30.50947","","0","0","0","395.522223","0","23-JUL-1997","161512"
"TPS","LT","QFN.50.S","1915.58523","2017.07185","2433.66","30.74467",".2352","0","0","0","395.522223","0","23-JUL-1997","161513"
"TPS","LT","BEC.4.E","1915.492813412","2018.383598518","2433.66","32.05967","","0","0","0","395.522223","0","14-DEC-2012","766460"
"TPS","LT","BEC.4.S","1915.492813412","2018.383598518","2433.66","32.05967","0","0","0","0","395.522223","0","14-DEC-2012","766461"
"TPS","LT","BCT.30.E","1915.47859","2018.5854","2433.66","32.26197","","0","0","0","395.522223","0","28-NOV-1996","160520"
"TPS","LT","BCT.30.S","1915.46559","2018.76994","2433.66","32.44697",".185","0","0","0","395.522223","0","28-NOV-1996","160521"
"TPS","LT","DVT.40.E","1915.44602","2019.04776","2433.66","32.72547","","0","0","0","395.522223","0","28-NOV-1996","160522"
"TPS","LT","DHZ.40.E","1915.435653881","2019.19489529","2433.66","32.87297","","0","0","0","395.522223","0","14-DEC-2012","766454"
"TPS","LT","DHZ.40.S","1915.435653881","2019.19489529","2433.66","32.87297","0","0","0","0","395.522223","0","14-DEC-2012","766455"
"TPS","LT","DVT.40.S","1915.42529","2019.34203","2433.66","33.02047",".295","0","0","0","395.522223","0","28-NOV-1996","160523"
"TPS","LT","BPM.40.E","1915.35445873","2020.347393957","2433.66","34.02833","","0","0","0","395.522223","0","31-JAN-2014","160526"
"TPS","LT","BPM.40.S","1915.35445873","2020.347393957","2433.66","34.02833","0","0","0","0","395.522223","0","31-JAN-2014","160527"
"TPS","LT","QDN.55.E","1915.30688","2021.02272","2433.66","34.70533","","0","0","0","395.522223","0","23-JUL-1997","161514"
"TPS","LT","QDN.55.S","1915.29035","2021.25734","2433.66","34.94053",".2352","0","0","0","395.522223","0","23-JUL-1997","161515"
"TPS","LT","VVS.20.E","1915.27669","2021.45126","2433.66","35.13493","","0","0","0","395.522223","0","28-NOV-1996","160530"
"TPS","LT","VVS.20.S","1915.26966","2021.55101","2433.66","35.23493",".1","0","0","0","395.522223","0","28-NOV-1996","160531"
"TPS","LT","QFN.60.E","1914.96454","2025.88188","2433.66","39.57653","","0","0","0","395.522223","0","23-JUL-1997","161516"
"TPS","LT","QFN.60.S","1914.94801","2026.11649","2433.66","39.81173",".2352","0","0","0","395.522223","0","23-JUL-1997","161517"
"TPS","LT","QDN.65.E","1914.82923","2027.80241","2433.66","41.50183","","0","0","0","395.522223","0","28-NOV-1996","160534"
"TPS","LT","QDN.65.S","1914.8127","2028.03703","2433.66","41.73703",".2352","0","0","0","395.522223","0","28-NOV-1996","160535"
"TPS","LT","BHZ.25.E","1914.79417","2028.30008","2433.66","42.00073","","0","0","0","395.522223","0","22-JUL-1997","160536"
"TPS","LT","BHZ.25.S","1914.76567","2028.70452","2433.66","42.40617",".40544","0","0","0","395.522223","0","22-JUL-1997","160537"
"TPS","LT","QFW.70.E","1914.47447","2032.8379","2433.66","46.5498","","0","0","0","395.522223","0","28-NOV-1996","160542"
"TPS","LT","QFW.70.S","1914.44636","2033.23691","2433.66","46.9498",".4","0","0","0","395.522223","0","28-NOV-1996","160543"
"TPS","LT","QDN.75.E","1914.23069","2036.29806","2433.66","50.01853","","0","0","0","395.522223","0","28-NOV-1996","160544"
"TPS","LT","QDN.75.S","1914.21416","2036.53267","2433.66","50.25373",".2352","0","0","0","395.522223","0","28-NOV-1996","160545"
"TPS","LT","DVT.50.E","1914.16468","2037.23499","2433.66","50.95779","","0","0","0","395.522223","0","28-NOV-1996","160546"
"TPS","LT","DHZ.50.E","1914.154313881","2037.38212529","2433.66","51.10529","","0","0","0","395.522223","0","14-DEC-2012","766456"
"TPS","LT","DHZ.50.S","1914.154313881","2037.38212529","2433.66","51.10529","0","0","0","0","395.522223","0","14-DEC-2012","766457"
"TPS","LT","DVT.50.S","1914.14395","2037.52926","2433.66","51.25279",".295","0","0","0","395.522223","0","28-NOV-1996","160547"
"TPS","LT","BCT.40.E","1914.11626","2037.92232","2433.66","51.64682","","0","0","0","395.522223","0","28-NOV-1996","160548"
"TPS","LT","BCT.40.S","1914.10325","2038.10686","2433.66","51.83182",".185","0","0","0","395.522223","0","28-NOV-1996","160549"
"TPS","LT","BPM.50.E","1914.055771256","2038.78080558","2433.66","52.50743","","0","0","0","395.522223","0","31-JAN-2014","160550"
"TPS","LT","BPM.50.S","1914.055771256","2038.78080558","2433.66","52.50743","0","0","0","0","395.522223","0","31-JAN-2014","160551"
"TPS","LT","BHZ.30.E","1913.98285","2039.81584","2433.66","53.54503","",".191975","0","0","395.522223","0","28-NOV-1996","160552"
"TPS","LT","BHZ.30.S","1913.74947","2040.68505","2433.66","54.44503",".9",".191975","0","0","371.079203","0","28-NOV-1996","160553"
