* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "BTP.DVT20"             13.45939900   0.00000000   0.00000000   0.01201612  -0.02788636   9.04237951  58.29080990   0.25633797   0.00000000   0.00000000  -0.02211912  -0.00178225  -7.60444821  51.32735226   0.07927075
 "DRIFT_9"               13.66574900   0.00000000   0.00000000   0.00626177  -0.02788636   8.74939197  54.61947785   0.25692001   0.00000000   0.00000000  -0.02248689  -0.00178225  -7.84095139  54.51451047   0.07989161
 "BTP.QNO30"             14.06574900   0.00000000   0.00000000  -0.00479307  -0.02774482  -1.60728319  51.83430314   0.25813202   0.00000000   0.00000000  -0.02232379   0.00259244   2.94617265  56.52468626   0.08102369
 "DRIFT_10"              14.96839900   0.00000000   0.00000000  -0.02983693  -0.02774482  -1.66968432  54.79225786   0.26082784   0.00000000   0.00000000  -0.01998372   0.00259244   2.79159255  51.34549251   0.08369049
 "BTP.VPI11"             14.96839900   0.00000000   0.00000000  -0.02983693  -0.02774482  -1.66968432  54.79225786   0.26082784   0.00000000   0.00000000  -0.01998372   0.00259244   2.79159255  51.34549251   0.08369049
 "DRIFT_11"              18.96574900   0.00000000   0.00000000  -0.14074267  -0.02774482  -1.94602528  69.24551463   0.27116360   0.00000000   0.00000000  -0.00962083   0.00259244   2.10704065  31.76394111   0.09946971
 "BTP.QNO40"             19.36574900   0.00000000   0.00000000  -0.14462524   0.00849517  14.69898039  63.96583737   0.27210418   0.00000000   0.00000000  -0.00905504   0.00026021  -6.07518865  33.29996340   0.10146025
 "DRIFT_12"              19.54939900   0.00000000   0.00000000  -0.14306510   0.00849517  14.07578721  58.68135130   0.27258126   0.00000000   0.00000000  -0.00900725   0.00026021  -6.28425161  35.56977460   0.10230953
 "BTP.DHZ30"             19.91139900   0.00000000   0.00000000  -0.13998985   0.00849517  12.84738573  48.93516269   0.27365641   0.00000000   0.00000000  -0.00891305   0.00026021  -6.69634413  40.26875026   0.10383187
 "DRIFT_13"              20.15689900   0.00000000   0.00000000  -0.13790429   0.00849517  12.01431236  42.83161581   0.27450987   0.00000000   0.00000000  -0.00884917   0.00026021  -6.97581572  43.62526551   0.10476409
 "BTP.UES20"             20.15689900   0.00000000   0.00000000  -0.13790429   0.00849517  12.01431236  42.83161581   0.27450987   0.00000000   0.00000000  -0.00884917   0.00026021  -6.97581572  43.62526551   0.10476409
 "DRIFT_14"              20.78439900   0.00000000   0.00000000  -0.13257357   0.00849517   9.88497003  29.08981611   0.27733933   0.00000000   0.00000000  -0.00868589   0.00026021  -7.69014738  52.82815735   0.10684448
 "BTP.DVT30"             21.14639900   0.00000000   0.00000000  -0.12949831   0.00849517   8.65656856  22.37777915   0.27959754   0.00000000   0.00000000  -0.00859169   0.00026021  -8.10223990  58.54500155   0.10788047
 "DRIFT_15"              21.45574900   0.00000000   0.00000000  -0.12687033   0.00849517   7.60682824  17.34669735   0.28209657   0.00000000   0.00000000  -0.00851120   0.00026021  -8.45439687  63.66679713   0.10868690
 "BTP.QNO50"             21.85574900   0.00000000   0.00000000  -0.12890808  -0.01875671   3.57471482  12.99781665   0.28639773   0.00000000   0.00000000  -0.00804588   0.00204970   5.42134286  64.91596999   0.10966306
 "DRIFT_16"              25.22539900   0.00000000   0.00000000  -0.19211163  -0.01875671   0.00265240   0.94334122   0.49256289   0.00000000   0.00000000  -0.00113909   0.00204970   3.84381282  33.69563816   0.12113980
 "BTP.VPI12"             25.22539900   0.00000000   0.00000000  -0.19211163  -0.01875671   0.00265240   0.94334122   0.49256289   0.00000000   0.00000000  -0.00113909   0.00204970   3.84381282  33.69563816   0.12113980
 "DRIFT_17"              25.97199900   0.00000000   0.00000000  -0.20611539  -0.01875671  -0.78879532   1.53027552   0.59928006   0.00000000   0.00000000   0.00039122   0.00204970   3.49428573  28.21701378   0.12499377
 "BTP.BCT10"             26.42079900   0.00000000   0.00000000  -0.21453341  -0.01875671  -1.26455441   2.45181888   0.63649426   0.00000000   0.00000000   0.00131113   0.00204970   3.28417623  25.17484005   0.12767390
 "DRIFT_18"              26.56739900   0.00000000   0.00000000  -0.21728314  -0.01875671  -1.41996056   2.84536878   0.64533246   0.00000000   0.00000000   0.00161161   0.00204970   3.21554421  24.22198103   0.12861876
 "BTP.DVT40"             26.92939900   0.00000000   0.00000000  -0.22407307  -0.01875671  -1.80370564   4.01233594   0.66241668   0.00000000   0.00000000   0.00235361   0.00204970   3.04607086  21.95527638   0.13111722
 "DRIFT_19"              27.15474900   0.00000000   0.00000000  -0.22829989  -0.01875671  -2.04259225   4.87909917   0.67052624   0.00000000   0.00000000   0.00281551   0.00204970   2.94057135  20.60618656   0.13280345
 "BTP.QNO60"             27.55474900   0.00000000   0.00000000  -0.22356125   0.04223824  -0.80088847   6.05888326   0.68203737   0.00000000   0.00000000   0.00380210   0.00292720  -2.52341584  20.44503285   0.13596089
 "DRIFT_20"              27.78989900   0.00000000   0.00000000  -0.21362893   0.04223824  -0.86459336   6.45052131   0.68802526   0.00000000   0.00000000   0.00449043   0.00292720  -2.60815513  21.65172177   0.13773972
 "BTP.UES30"             27.97489900   0.00000000   0.00000000  -0.20581485   0.04223824  -0.91471202   6.77969280   0.69247820   0.00000000   0.00000000   0.00503197   0.00292720  -2.67482224  22.62907258   0.13906992
