* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "PR.BHR000042.CORR4"     3.60649265  -0.00000000  -0.00000000   0.36748925   0.07206728  -1.40582461  20.79745501   0.04040792   0.00000000   0.00000000   0.03189715  -0.00045989   0.72714591  10.85703821   0.03917732
 "PR.BHR000042.MPFM"      3.60649265  -0.00000000  -0.00000000   0.36748925   0.07206728  -1.40582461  20.79745501   0.04040792   0.00000000   0.00000000   0.03189715  -0.00045989   0.72714591  10.85703821   0.03917732
 "PR.BHR000042.FEXFF2"    4.70461265  -0.00000000   0.00000000   0.44205662   0.06293672  -0.07761638  22.46616463   0.04840124   0.00000000   0.00000000   0.03252219   0.00160497  -0.06307950  10.14455224   0.05605941
 "PR.BHR000042.CORR5"     4.70461265  -0.00000000   0.00000000   0.44205662   0.06293672  -0.07761638  22.46616463   0.04840124   0.00000000   0.00000000   0.03252219   0.00160497  -0.06307950  10.14455224   0.05605941
 "PR.BHR000042.MPFE2"     4.70461265  -0.00000000   0.00000000   0.44205662   0.06403532  -0.13344951  22.46616463   0.04840124   0.00000000   0.00000000   0.03252219   0.00152415  -0.03786816  10.14455224   0.05605941
 "PR.BHR000042.C2"        5.00318531  -0.00000000   0.00000000   0.46117582   0.06403532  -0.14697607  22.54989204   0.05051252   0.00000000   0.00000000   0.03297725   0.00152415  -0.06734218  10.17596517   0.06073706
 "PR.BHR000042$END"       5.00318531  -0.00000000   0.00000000   0.46117582   0.06403532  -0.14697607  22.54989204   0.05051252   0.00000000   0.00000000   0.03297725   0.00152415  -0.06734218  10.17596517   0.06073706
 "PS43$START"             5.00318531  -0.00000000   0.00000000   0.46117582   0.06403532  -0.14697607  22.54989204   0.05051252   0.00000000   0.00000000   0.03297725   0.00152415  -0.06734218  10.17596517   0.06073706
 "PR.VPI43"               5.00318531  -0.00000000   0.00000000   0.46117582   0.06403532  -0.14697607  22.54989204   0.05051252   0.00000000   0.00000000   0.03297725   0.00152415  -0.06734218  10.17596517   0.06073706
 "PR.UHV43"               5.00318531  -0.00000000   0.00000000   0.46117582   0.06403532  -0.14697607  22.54989204   0.05051252   0.00000000   0.00000000   0.03297725   0.00152415  -0.06734218  10.17596517   0.06073706
