@ NAME             %09s "PTC_TWISS"
 "LT.STP10"            26.11513    0.00258    0.00000
 "DRIFT_27"            29.36513    0.00378    0.00000
 "LT.BEC3"             29.36513    0.00378    0.00000
 "DRIFT_28"            30.50763    0.00420    0.00000
 "LT.QFN50"            30.76263    0.00410    0.00000
 "DRIFT_29"            31.58513    0.00315    0.00000
 "LT.VPI14"            31.58513    0.00315    0.00000
 "DRIFT_30"            32.00513    0.00267    0.00000
 "LT.BEC4"             32.00513    0.00267    0.00000
 "DRIFT_31"            32.36613    0.00226    0.00000
 "LT.BCT30"            32.36613    0.00226    0.00000
 "DRIFT_32"            32.88513    0.00166    0.00000
 "LT.DHZ40"            32.88513    0.00166    0.00000
 "LT.DVT40"            32.88513    0.00166    0.00000
 "DRIFT_33"            34.04513    0.00033    0.00000
 "LT.BPM40"            34.04513    0.00033    0.00000
 "DRIFT_34"            34.70763   -0.00043    0.00000
 "LT.QDN55"            34.96263   -0.00073    0.00000
 "DRIFT_35"            35.19714   -0.00103    0.00000
 "LT.VVS20"            35.19714   -0.00103    0.00000
 "DRIFT_36"            39.57764   -0.00657    0.00000
 "LT.QFN60"            39.83264   -0.00675    0.00000
 "DRIFT_37"            41.48564   -0.00689    0.00000
 "LT.QDN65"            41.74064   -0.00707    0.00000
 "DRIFT_38"            42.01042   -0.00743    0.00000
 "LT.BHZ25"            42.41586   -0.00796    0.00000
 "DRIFT_39"            43.51014   -0.00940    0.00000
 "LT.VPI25"            43.51014   -0.00940    0.00000
 "DRIFT_40"            46.10614   -0.01281    0.00000
 "LT.VPI26"            46.10614   -0.01281    0.00000
 "DRIFT_41"            46.51414   -0.01334    0.00000
 "LT.QFW70"            46.97614   -0.01308    0.00000
 "DRIFT_42"            50.00764   -0.00561    0.00000
 "LT.QDN75"            50.26264   -0.00509    0.00000
 "DRIFT_43"            51.10514   -0.00374    0.00000
 "LT.DHZ50"            51.10514   -0.00374    0.00000
 "LT.DVT50"            51.10514   -0.00374    0.00000
 "DRIFT_44"            51.73914   -0.00272    0.00000
 "LT.BCT40"            51.73914   -0.00272    0.00000
 "DRIFT_45"            52.22714   -0.00193    0.00000
 "LT.BPM50"            52.78314   -0.00104    0.00000
 "DRIFT_46"            53.47286    0.00007    0.00000
 "ENDLT"               53.47286    0.00007    0.00000
 "LT$END"              53.47286    0.00007    0.00000
 "DRIFT_47"            53.47287    0.00007    0.00000
 "LTB$START"           53.47287    0.00007    0.00000
 "BEGLTB"              53.47287    0.00007    0.00000
 "LT.BHZ30"            54.52432    0.00171    0.00000
 "DRIFT_48"            55.21204    0.00273    0.00000
 "LTB.DHZ10"           55.21204    0.00273    0.00000
 "LTB.DVT10"           55.21204    0.00273    0.00000
 "DRIFT_49"            55.74554    0.00352    0.00000
 "LTB.STP10"           55.74554    0.00352    0.00000
 "DRIFT_50"            56.13204    0.00410    0.00000
 "LTB.VVS10"           56.13204    0.00410    0.00000
 "DRIFT_51"            56.62954    0.00483    0.00000
 "LTB.VPI11"           56.62954    0.00483    0.00000
 "DRIFT_52"            58.16454    0.00711    0.00000
 "LTB.QFN10"           58.41954    0.00715    0.00000
 "DRIFT_19"            59.16454    0.00632    0.00000
 "LTB.QDN20"           59.41954    0.00616    0.00000
 "DRIFT_53"            59.73004    0.00613    0.00000
 "LTB.MSF30"           59.73004    0.00613    0.00000
 "DRIFT_54"            60.43754    0.00607    0.00000
 "LTB.BPM10"           60.43754    0.00607    0.00000
 "DRIFT_55"            60.80504    0.00604    0.00000
 "LTB.BCT49"           60.80504    0.00604    0.00000
 "DRIFT_56"            61.14204    0.00600    0.00000
 "LTB.DHZ20"           61.14204    0.00600    0.00000
 "LTB.DVT20"           61.14204    0.00600    0.00000
 "DRIFT_57"            64.07104    0.00573    0.00000
 "LTB.BCT50"           64.07104    0.00573    0.00000
 "DRIFT_58"            64.58104    0.00569    0.00000
 "LTB.BCT55"           64.58104    0.00569    0.00000
 "DRIFT_59"            67.64204    0.00540    0.00000
 "LTB.BPM20"           67.64204    0.00540    0.00000
 "DRIFT_60"            68.14204    0.00536    0.00000
 "LTB.DHZ30"           68.14204    0.00536    0.00000
 "LTB.DVT30"           68.14204    0.00536    0.00000
 "DRIFT_61"            68.81154    0.00530    0.00000
 "LTB.QFW30"           69.27254    0.00498    0.00000
 "DRIFT_62"            69.81154    0.00431    0.00000
 "LTB.QDW40"           70.27254    0.00400    0.00000
 "DRIFT_63"            74.92104    0.00362    0.00000
 "LTB.BCT59"           74.92104    0.00362    0.00000
 "DRIFT_64"            75.46404    0.00357    0.00000
 "LTB.VPI12"           75.46404    0.00357    0.00000
 "DRIFT_65"            75.91404    0.00354    0.00000
 "LTB.VGR01"           75.91404    0.00354    0.00000
 "DRIFT_66"            77.98004    0.00337    0.00000
 "LTB.VPI13"           77.98004    0.00337    0.00000
 "DRIFT_67"            78.51004    0.00332    0.00000
 "LTB.MSF40"           78.51004    0.00332    0.00000
 "DRIFT_68"            78.94204    0.00329    0.00000
 "LTB.BCT60"           78.94204    0.00329    0.00000
 "DRIFT_69"            79.36154    0.00325    0.00000
 "LTB.QFW50"           79.82254    0.00296    0.00000
 "DRIFT_70"            80.66154    0.00197    0.00000
 "LTB.QDW60"           81.12254    0.00158    0.00000
 "DRIFT_69"            81.54204    0.00136    0.00000
 "LTB.DHZ40"           81.54204    0.00136    0.00000
 "LTB.DVT40"           81.54204    0.00136    0.00000
 "DRIFT_71"            82.04604    0.00110    0.00000
 "LTB.BPM30"           82.04604    0.00110    0.00000
 "DRIFT_72"            82.70804    0.00076    0.00000
 "ENDLTB"              82.70804    0.00076    0.00000
 "LTB$END"             82.70804    0.00076    0.00000
 "BI4$START"           82.70804    0.00076    0.00000
 "BEGBI"               82.70804    0.00076    0.00000
 "LTB.BHZ40"           83.60804    0.00029    0.00000
 "DRIFT_73"            84.28804   -0.00007    0.00000
 "BI.VPI11"            84.28804   -0.00007    0.00000
 "DRIFT_74"            89.27204   -0.00267    0.00000
 "BI.DHZ10"            89.27204   -0.00267    0.00000
